"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0147","Boulevard Allard","NANTES","Allard","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Pasteur","zone_transition","unique","","mardi et vendredi","merc_sem_paires","","Dervallières - Zola",""
"0150","Rue d'Allemagne","NANTES","Allemagne","PUBLIQUE","NANTES Rue du Bois Briand","NANTES Rue du Marché Commun","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Doulon - Bottière",""
"7803","Boulevard Salvador Allende","NANTES","Allende","PUBLIQUE","NANTES Place de Jacksonville","NANTES Boulevard Saint Aignan","TRI'SAC","unique","","lundi et jeudi","","","pluriel","numeros impairs : Bellevue - Chantenay - Sainte Anne ; numeros pairs : Dervallières - Zola"
"0160","Rue de l'Allier","NANTES","Allier","PUBLIQUE","NANTES Rue de l'Indre","NANTES Quai de Malakoff","TRI'SAC","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"0168","Rue d'Allonville","NANTES","Allonville","PUBLIQUE","NANTES Place du 11ème Train des Equipage","NANTES Rue Frédéric Cailliaud","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0173","Rue de l'Allouée","NANTES","Allouée","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Boulevard Jean XXIII","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Breil - Barberie",""
"0176","Avenue des Alouettes","NANTES","Alouettes","PRIVEE","NANTES Rue des Alouettes","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0184","Rue des Alouettes","NANTES","Alouettes","PUBLIQUE","NANTES Rue du Bois Hardy","NANTES Rue Firmin Colas","zone_transition","pluriel","les numéros 42 et 44","mardi et vendredi","merc_sem_paires","","Bellevue - Chantenay - Sainte Anne",""
"0184","Rue des Alouettes","NANTES","Alouettes","PUBLIQUE","NANTES Rue du Bois Hardy","NANTES Rue Firmin Colas","bacs bleus et bacs jaunes","pluriel","tous les numéros sauf 42 et 44","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0186","Avenue des Alpagas","NANTES","Alpagas","PRIVEE","NANTES Avenue des Antilopes","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"0198","Rue d'Alsace","NANTES","Alsace","PUBLIQUE","NANTES Rue des Boers","NANTES Rue des Bateaux Lavoirs","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0205","Avenue de l'Alverne","NANTES","Alverne","PRIVEE","NANTES Rue de la Bourgeonnière","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
